epoch,s,test,testSim,testSimRN,train,trainSim,trainSimRN
0,1,0.828750855,0.570634227,0.722154235,0.84691206,0.605509768,0.786724734
1,1,0.859077369,0.447762106,0.728441296,0.903864773,0.486830392,0.8223079
2,1,0.875395715,0.430160069,0.753678429,0.945860415,0.581801368,0.939772727
3,1,0.880396367,0.545321707,0.823183761,0.950601467,0.824059,0.986805556
4,1,0.730047336,0.377058127,0.513783735,0.771206659,0.404094107,0.554505868
5,1,0.879497432,0.483978645,0.829181235,0.954279473,0.860963315,0.981691919
6,1,0.884521983,0.459510835,0.80973869,0.956552616,0.920210941,0.981691919
7,1,0.887989224,0.467207829,0.804668942,0.958735516,0.866139069,0.981691919
8,1,0.885616383,0.497751577,0.799519231,0.95687602,0.957789855,0.99375
9,1,0.875298709,0.440777822,0.762197862,0.944651377,0.687915109,0.98342803
10,1,0.88363312,0.478039643,0.797505784,0.956642747,0.9546875,0.988636364
11,1,0.883266369,0.474356954,0.805518604,0.956475427,0.961956522,0.988636364
12,1,0.882507375,0.47108898,0.789950839,0.95642212,0.955706522,0.988636364
13,1,0.882386768,0.47108898,0.797963659,0.956529439,0.961956522,0.988636364
14,1,0.882207221,0.469179738,0.797963659,0.956547698,0.9609375,0.988636364
15,1,0.882087497,0.465873337,0.797963659,0.956509473,0.9609375,0.988636364
16,1,0.88160304,0.463241758,0.794345238,0.956491077,0.9609375,0.988636364
0,2,0.83126391,0.422132487,0.655733156,0.843179881,0.431459752,0.72328713
1,2,0.85436513,0.418021068,0.710255186,0.877207213,0.425918934,0.763336709
2,2,0.886015207,0.404368652,0.789980159,0.939591305,0.448428968,0.895667353
3,2,0.912520896,0.453886836,0.822155785,0.974063614,0.606332725,0.953835227
4,2,0.911844861,0.472444457,0.819070513,0.97998389,0.754262584,0.988636364
5,2,0.91051122,0.496603827,0.828760823,0.980043739,0.875961091,0.982386364
6,2,0.911826006,0.475375424,0.81243895,0.981041099,0.851095245,0.988636364
7,2,0.914115301,0.465019273,0.812249373,0.981611019,0.887497745,0.981691919
8,2,0.910977182,0.477263235,0.807006699,0.981549213,0.902966651,0.988636364
9,2,0.911706547,0.470980082,0.833105601,0.981759369,0.937594697,0.981691919
10,2,0.893127488,0.386645603,0.726425097,0.963194347,0.523845414,0.889646812
11,2,0.909985497,0.449827814,0.821466728,0.981195359,0.829655865,0.982386364
12,2,0.912997143,0.455074786,0.788100962,0.981011674,0.873894247,0.988636364
13,2,0.910510989,0.466852485,0.808380326,0.982282799,0.921047009,0.99375
14,2,0.909319988,0.423261938,0.786207707,0.980357766,0.891617861,0.988636364
15,2,0.909111403,0.472915192,0.811951754,0.981964923,0.9296875,0.99375
16,2,0.906214826,0.457499197,0.797458791,0.975134243,0.574285134,0.963683712
17,2,0.911712693,0.463685925,0.827576754,0.981897786,0.926339286,0.99375
18,2,0.910385798,0.446352843,0.795950354,0.981773665,0.927996483,0.99375
