epoch,d,test,testSim,testSimRN,train,trainSim,trainSimRN
0,0,0.828750855,0.570634227,0.722154235,0.84691206,0.605509768,0.786724734
1,0,0.859077369,0.447762106,0.728441296,0.903864773,0.486830392,0.8223079
2,0,0.875395715,0.430160069,0.753678429,0.945860415,0.581801368,0.939772727
3,0,0.880396367,0.545321707,0.823183761,0.950601467,0.824059,0.986805556
4,0,0.730047336,0.377058127,0.513783735,0.771206659,0.404094107,0.554505868
5,0,0.879497432,0.483978645,0.829181235,0.954279473,0.860963315,0.981691919
6,0,0.884521983,0.459510835,0.80973869,0.956552616,0.920210941,0.981691919
7,0,0.887989224,0.467207829,0.804668942,0.958735516,0.866139069,0.981691919
8,0,0.885616383,0.497751577,0.799519231,0.95687602,0.957789855,0.99375
9,0,0.875298709,0.440777822,0.762197862,0.944651377,0.687915109,0.98342803
10,0,0.88363312,0.478039643,0.797505784,0.956642747,0.9546875,0.988636364
11,0,0.883266369,0.474356954,0.805518604,0.956475427,0.961956522,0.988636364
12,0,0.882507375,0.47108898,0.789950839,0.95642212,0.955706522,0.988636364
13,0,0.882386768,0.47108898,0.797963659,0.956529439,0.961956522,0.988636364
14,0,0.882207221,0.469179738,0.797963659,0.956547698,0.9609375,0.988636364
15,0,0.882087497,0.465873337,0.797963659,0.956509473,0.9609375,0.988636364
16,0,0.88160304,0.463241758,0.794345238,0.956491077,0.9609375,0.988636364
0,1,0.740449153,0.65396756,0.52916181,0.737726223,0.653616522,0.525604257
1,1,0.827621441,0.679865967,0.751005592,0.839138499,0.695505766,0.806594968
2,1,0.883125306,0.4790788,0.760364146,0.913928485,0.532020883,0.841332352
3,1,0.891293177,0.577190874,0.800160256,0.934427898,0.632844563,0.905762467
4,1,0.914837883,0.641222588,0.822733516,0.951811365,0.742378858,0.938490676
5,1,0.910788226,0.727380952,0.862713675,0.949531239,0.816489413,0.986111111
6,1,0.911930463,0.66895328,0.883587858,0.945928821,0.758816964,0.9640625
7,1,0.922076943,0.682187818,0.885416667,0.955048376,0.829792142,1
8,1,0.92280232,0.721080962,0.884340659,0.953415294,0.835387529,0.993055556
9,1,0.920555551,0.757582318,0.891098485,0.956246007,0.862292308,0.993055556
10,1,0.924555931,0.753302988,0.882284382,0.956505998,0.915570887,1
11,1,0.920864436,0.723845599,0.897275641,0.956283707,0.87401869,1
12,1,0.927842935,0.759699675,0.895677239,0.958456968,0.904471917,0.993055556
13,1,0.922525268,0.733669772,0.916666667,0.955698816,0.922991071,1
14,1,0.92188689,0.691269841,0.882852564,0.957603842,0.919118382,1
15,1,0.917262154,0.709442335,0.876217532,0.956688014,0.901771666,1
