epoch,b,test,testSim,testSimRN,train,trainSim,trainSimRN
0,0.5,0.614568975,0.502827381,0.661376818,0.608367137,0.560506334,0.695066739
1,0.5,0.77679405,0.479178574,0.751833236,0.786766118,0.506314524,0.741253538
2,0.5,0.774334968,0.464029329,0.700675366,0.78059176,0.477456936,0.696803891
3,0.5,0.796335741,0.432565562,0.740231643,0.805953555,0.45632965,0.730329046
4,0.5,0.798905804,0.419610877,0.672809829,0.806986201,0.440757485,0.682382691
5,0.5,0.789188286,0.411257176,0.675083985,0.798270793,0.438815714,0.679891636
6,0.5,0.788768788,0.472962989,0.779865967,0.790628909,0.507691507,0.780186827
7,0.5,0.82675689,0.438853273,0.746451465,0.836416466,0.462122537,0.724719633
8,0.5,0.795666638,0.460168131,0.726388889,0.798329187,0.487072043,0.766777146
9,0.5,0.813706739,0.412736041,0.674841651,0.83065037,0.409620423,0.678947492
10,0.5,0.826416081,0.420019433,0.64376717,0.844993907,0.430409927,0.679056881
11,0.5,0.789845298,0.536776377,0.757615301,0.797382545,0.548191301,0.796025359
12,0.5,0.836339883,0.409054089,0.683426816,0.856070464,0.418581889,0.710110723
13,0.5,0.823357393,0.391444502,0.603914788,0.834626698,0.400785214,0.66255148
14,0.5,0.815171718,0.443970379,0.724100379,0.828756003,0.461921511,0.735191891
15,0.5,0.778197062,0.532959738,0.752933178,0.782941085,0.545958094,0.774924034
16,0.5,0.808459382,0.473600499,0.736727855,0.816429148,0.506020972,0.786460068
17,0.5,0.824229665,0.440546582,0.714444624,0.836680606,0.453591839,0.72992008
18,0.5,0.823959561,0.490897918,0.746367521,0.828787432,0.532982692,0.778424353
19,0.5,0.831608282,0.428954093,0.681889801,0.848481727,0.453207379,0.707521645
20,0.5,0.841047238,0.434404626,0.720480908,0.86293088,0.448571479,0.742820201
21,0.5,0.830582523,0.427608696,0.675074925,0.847974133,0.441949387,0.73792934
22,0.5,0.846608331,0.393219697,0.667040598,0.862179073,0.417052003,0.69739011
23,0.5,0.849173003,0.402147929,0.667979243,0.864268758,0.435024359,0.716181781
24,0.5,0.845051648,0.400909392,0.650095778,0.862565192,0.403478336,0.709754155
0,1,0.781227974,0.489864367,0.689287102,0.784990922,0.53711373,0.739935065
1,1,0.808525381,0.471973221,0.655210761,0.818925046,0.498867263,0.687585591
2,1,0.732681451,0.657061688,0.560873155,0.725713274,0.66561543,0.61155303
3,1,0.819312317,0.418329823,0.668837413,0.828916132,0.415744611,0.649758544
4,1,0.822853016,0.467806234,0.779108392,0.831311317,0.48065768,0.755922203
5,1,0.802261283,0.413229814,0.647069424,0.813402825,0.428594571,0.671213509
6,1,0.833160416,0.432265185,0.69421568,0.842173104,0.43281383,0.728035506
7,1,0.827043537,0.423566049,0.644883187,0.834866572,0.418147978,0.690496069
8,1,0.828192278,0.417021667,0.681567738,0.838936405,0.421630212,0.695540489
9,1,0.836090425,0.452572822,0.737678467,0.846395488,0.468850331,0.7604597
10,1,0.838981766,0.421170233,0.646085685,0.853317253,0.430736382,0.703513382
11,1,0.825852574,0.371275614,0.619333791,0.837139493,0.386106434,0.620316366
12,1,0.827742189,0.430892857,0.686321491,0.845779397,0.458616866,0.689995421
13,1,0.817462965,0.420486406,0.67990343,0.827872382,0.443791851,0.708160936
14,1,0.798649813,0.49282712,0.740894522,0.810975712,0.499666791,0.813595779
15,1,0.840964052,0.473064058,0.741503809,0.858333937,0.487453606,0.787978948
16,1,0.837873382,0.390852842,0.63401864,0.852161446,0.417949731,0.67761015
17,1,0.800510387,0.5254995,0.74721251,0.811973821,0.568133453,0.776865149
18,1,0.852154312,0.434624327,0.740692641,0.869952494,0.470009405,0.742229033
19,1,0.846671925,0.380912513,0.680631378,0.862030994,0.40432855,0.654722957
20,1,0.849419331,0.366012163,0.617445616,0.867386836,0.37074161,0.63579447
21,1,0.845724539,0.41103316,0.680645743,0.864901556,0.435200909,0.701873127
22,1,0.84609083,0.387501964,0.590082478,0.862295732,0.413099351,0.65532144
23,1,0.848807472,0.443485495,0.718453422,0.870495911,0.452393995,0.731775393
24,1,0.853843309,0.367295638,0.635168651,0.873586136,0.398422186,0.683290186
0,3,0.750035511,0.450891014,0.651523477,0.752763835,0.511848939,0.681503132
1,3,0.812286897,0.428665474,0.61974692,0.822197616,0.467619772,0.63916393
2,3,0.761464971,0.448952911,0.630893004,0.774326743,0.466974965,0.665216462
3,3,0.795523514,0.457286786,0.733595571,0.805057583,0.487576041,0.743196387
4,3,0.810657231,0.495765101,0.765151515,0.819104111,0.527839927,0.771781604
5,3,0.829828697,0.439692173,0.654756702,0.841262445,0.460387234,0.720450383
6,3,0.824215643,0.410800843,0.699791181,0.838310646,0.446195247,0.700098033
7,3,0.830593815,0.512936508,0.786771562,0.836792252,0.538838477,0.808854167
8,3,0.826342596,0.477249453,0.669477398,0.842502775,0.472965555,0.698801199
9,3,0.759607747,0.553775901,0.721897547,0.766618879,0.563540367,0.738679376
10,3,0.8449724,0.552827599,0.751526252,0.858697795,0.573226846,0.818914072
11,3,0.84402107,0.432655204,0.660590839,0.859865624,0.452413354,0.690701195
12,3,0.842954403,0.43981123,0.726458091,0.858966922,0.462927067,0.745587572
13,3,0.851022978,0.381489005,0.650713523,0.857809052,0.40309936,0.700496986
14,3,0.856841612,0.400884215,0.661502213,0.876889595,0.439155623,0.685269127
15,3,0.857982383,0.393266893,0.691164729,0.875067511,0.415689107,0.668391491
16,3,0.863053377,0.41807648,0.726089015,0.88331946,0.4329405,0.776708708
17,3,0.873373656,0.428500915,0.734705613,0.896960768,0.434821687,0.757074436
18,3,0.876320352,0.433340974,0.743382353,0.906745303,0.447627477,0.807580961
19,3,0.873347576,0.408692304,0.70104739,0.89412185,0.440736498,0.727577457
20,3,0.881311817,0.454368104,0.747327672,0.90669653,0.489765216,0.785726499
21,3,0.87592482,0.39717218,0.674814677,0.906281749,0.440781135,0.74614396
22,3,0.891298974,0.483194266,0.82718254,0.92867509,0.542295137,0.882177545
23,3,0.896033987,0.474495005,0.783080155,0.928969422,0.514278575,0.831793207
24,3,0.883004066,0.444224128,0.753746774,0.919918417,0.487230373,0.803484363
