epoch,test,testSim,testSimRN,train,trainSim,trainSimRN
0,0.694299447,0.252770483,0.34436553,0.710542695,0.274170613,0.333367674
1,0.706815853,0.267545699,0.366392288,0.726590257,0.267230821,0.372791445
2,0.667104086,0.205551463,0.259297116,0.678666571,0.221613117,0.262367687
3,0.693966748,0.23476478,0.320581502,0.718010166,0.26508128,0.349078352
4,0.697715218,0.247891865,0.297668998,0.719521291,0.266841618,0.339364455
5,0.697155719,0.248271694,0.332665598,0.718404263,0.322706926,0.376351687
6,0.694106994,0.268674507,0.330177808,0.715215729,0.29832753,0.384390783
7,0.701196956,0.297987756,0.354040057,0.72286627,0.339580905,0.390919701
8,0.698423103,0.284900771,0.351532148,0.720185202,0.37570355,0.401388889
9,0.698765374,0.289903981,0.354373057,0.721456864,0.371499599,0.396924603
10,0.700284002,0.28116361,0.360564782,0.722157572,0.381881459,0.399305556
11,0.695605771,0.27226606,0.343839841,0.715977738,0.357127074,0.39484127
12,0.699887831,0.297049142,0.341745367,0.721074077,0.378892635,0.396924603
13,0.698107248,0.256446404,0.328455225,0.720401017,0.337224234,0.393136724
14,0.700480102,0.28996305,0.351199148,0.722189928,0.345355084,0.379238154
15,0.7003318,0.294468185,0.348348873,0.721857669,0.378892608,0.396924603
16,0.698733486,0.313883668,0.350468629,0.720746624,0.376644856,0.397222222
17,0.69933007,0.307684576,0.352656025,0.721250873,0.375931013,0.399305556
18,0.698878192,0.331536562,0.350762085,0.720681031,0.381409012,0.397222222
19,0.698986898,0.332433712,0.355156129,0.720430696,0.387044553,0.399305556
20,0.69837278,0.303715261,0.359284812,0.721040729,0.378444125,0.393136724
21,0.698570431,0.321523401,0.346243687,0.719693705,0.375573878,0.396924603
22,0.69782136,0.298477421,0.352479118,0.719596098,0.365334665,0.393055556
23,0.699803294,0.303695437,0.347190657,0.721140484,0.372537879,0.397222222
24,0.699562834,0.30986329,0.337301587,0.720677002,0.377107067,0.397222222
25,0.698516844,0.289081019,0.338938492,0.720242707,0.376098034,0.39484127
26,0.698306246,0.314802632,0.342166514,0.719833837,0.382877886,0.397222222
27,0.699425074,0.321613386,0.34556728,0.720900549,0.382777438,0.397222222
28,0.699643073,0.307434641,0.331864316,0.721105456,0.36701953,0.397222222
29,0.699559922,0.297440906,0.341435995,0.72121805,0.380458577,0.397222222
30,0.699673017,0.312777543,0.351532148,0.721550129,0.373559774,0.399305556
31,0.699972687,0.315638975,0.348691239,0.722137209,0.383862058,0.399305556
32,0.699770229,0.329463979,0.348358239,0.721864732,0.379939709,0.397222222
33,0.699090516,0.283986628,0.338595085,0.720574729,0.375670948,0.395517677
34,0.698766896,0.291552418,0.338595085,0.720274085,0.3778031,0.397222222
35,0.698136115,0.292883587,0.338595085,0.719750497,0.379505217,0.397222222
36,0.699194727,0.292865184,0.340998932,0.720035535,0.36579101,0.397222222
37,0.699063701,0.298549146,0.339375555,0.720618592,0.375372544,0.397222222
38,0.699609794,0.319896437,0.343893953,0.721296268,0.373215472,0.397222222
39,0.699768912,0.301406333,0.342166514,0.721427579,0.375248016,0.397222222
40,0.699222609,0.312420032,0.340106074,0.72079268,0.3767179,0.397222222
41,0.698955101,0.306903595,0.353602994,0.720370992,0.369739146,0.397222222
42,0.698593978,0.311379273,0.347411269,0.720416622,0.38282837,0.397222222
43,0.697917073,0.292502377,0.34457036,0.719264637,0.367133214,0.397222222
44,0.69808553,0.302042484,0.338595085,0.719101348,0.367159723,0.397222222
45,0.698663245,0.278720455,0.333386752,0.720226887,0.34710657,0.397222222
46,0.698768723,0.299803961,0.34457036,0.720833721,0.366398359,0.397222222
47,0.699258529,0.293898544,0.343402778,0.721304536,0.361708951,0.397222222
48,0.699648209,0.292441735,0.342382964,0.721247198,0.372356667,0.397222222
49,0.699184691,0.295164056,0.355320027,0.720750002,0.39074557,0.39484127
50,0.698181435,0.288847355,0.336191239,0.720211504,0.372038582,0.397222222
51,0.69921722,0.296851255,0.345223873,0.721270665,0.379279401,0.397222222
52,0.698642456,0.284242092,0.336191239,0.719809014,0.365354264,0.397222222
53,0.698968368,0.296541041,0.342166514,0.720574921,0.366367747,0.397222222
54,0.699165599,0.30040715,0.337702228,0.720998149,0.377193206,0.397222222
55,0.699539331,0.286900253,0.342166514,0.721669583,0.36178561,0.397222222
56,0.699555051,0.285903414,0.343550547,0.721840626,0.364431259,0.397222222
57,0.698414407,0.296534375,0.345007423,0.719634779,0.369897117,0.397222222
58,0.699703244,0.287735814,0.340998932,0.720648012,0.368326118,0.397222222
59,0.699207061,0.28972583,0.338595085,0.720750718,0.367053524,0.397222222
60,0.699231852,0.299574481,0.339304792,0.720857502,0.373578331,0.397222222
61,0.699145906,0.288914959,0.3341308,0.720628302,0.366312507,0.397222222
62,0.698513165,0.30071003,0.336191239,0.720326874,0.368977724,0.397222222
63,0.698529306,0.29841305,0.338045635,0.720787476,0.357095825,0.399305556
64,0.699066191,0.293106297,0.341490107,0.721147684,0.370841516,0.397222222
