epoch,ex,test,testSim,testSimRN,train,trainSim,trainSimRN
0,orignCE,0.823201092,0.445600686,0.651745477,0.835359006,0.450091521,0.678786975
1,orignCE,0.834586652,0.525509406,0.725081169,0.85616544,0.535184493,0.759367948
2,orignCE,0.811171464,0.54047577,0.772367736,0.837041501,0.557221284,0.809900516
3,orignCE,0.830593737,0.671177077,0.780035936,0.86705959,0.692714047,0.855675228
4,orignCE,0.891438671,0.607591755,0.863734917,0.932782136,0.625458141,0.922448558
5,orignCE,0.882437571,0.527359994,0.773840569,0.911976642,0.612502171,0.850706065
6,orignCE,0.896569194,0.582896865,0.78259154,0.93085949,0.596474822,0.845094734
7,orignCE,0.906696267,0.653037067,0.847114691,0.943602427,0.691421968,0.928421232
8,orignCE,0.90310956,0.631721098,0.838209707,0.941240156,0.698378812,0.937847222
9,orignCE,0.912080006,0.680882353,0.861950549,0.9514375,0.757058206,0.99375
10,orignCE,0.915138904,0.685628895,0.880703243,0.947610079,0.743123807,0.972537879
11,orignCE,0.903657251,0.667728758,0.840230644,0.944607829,0.756692987,0.957007576
12,orignCE,0.913793658,0.76604722,0.880608974,0.953502297,0.875029644,1
13,orignCE,0.917109635,0.715854458,0.875801282,0.953024924,0.826518273,0.994791667
14,orignCE,0.907344186,0.721963394,0.885510935,0.949175049,0.876719665,0.99375
15,orignCE,0.914400822,0.753372986,0.909134615,0.954378678,0.884256369,1
16,orignCE,0.912767944,0.736843712,0.902316434,0.951146898,0.842092283,0.99375
17,orignCE,0.908132668,0.811733405,0.883766968,0.950304668,0.917548844,0.99375
18,orignCE,0.911681496,0.781782607,0.897748697,0.954201184,0.899509008,1
19,orignCE,0.923392771,0.790532303,0.903263403,0.956870105,0.908424388,1
20,orignCE,0.919753579,0.779744398,0.892846737,0.956449564,0.907335373,0.99375
21,orignCE,0.90411342,0.759888285,0.892846737,0.948162753,0.800519488,0.988541667
22,orignCE,0.917614401,0.789926046,0.897748697,0.957937744,0.904655934,1
23,orignCE,0.916845372,0.7961671,0.902316434,0.956830234,0.928736888,1
24,orignCE,0.921821363,0.789085057,0.896634615,0.957259815,0.926022242,0.9875
25,orignCE,0.918791411,0.786663255,0.903263403,0.95754054,0.921303176,0.99375
26,orignCE,0.916841588,0.770610712,0.885510935,0.958788525,0.926657197,0.99375
27,orignCE,0.91680438,0.781967787,0.888392857,0.956643306,0.928777309,1
28,orignCE,0.917387026,0.824204105,0.909513403,0.956758708,0.986505682,1
29,orignCE,0.913785312,0.729240939,0.885525504,0.952552808,0.849657818,0.99375
30,orignCE,0.915669485,0.792177961,0.896634615,0.956270515,0.959043561,1
31,orignCE,0.916318898,0.776984127,0.880703243,0.957418502,0.924254565,0.99375
32,orignCE,0.916893019,0.795477358,0.893604312,0.956090948,0.919201111,1
33,orignCE,0.912879427,0.763432478,0.88507326,0.956827554,0.937981983,1
34,orignCE,0.919991255,0.799926499,0.917322261,0.958562899,0.96936553,1
35,orignCE,0.920422775,0.802076387,0.886217949,0.957078534,0.900484411,1
36,orignCE,0.919819489,0.80625,0.917467949,0.956869752,0.958001894,1
37,orignCE,0.917733956,0.768130554,0.886217949,0.956896815,0.973484848,1
38,orignCE,0.92152988,0.777901786,0.896634615,0.958929899,0.947872103,1
